bot_hp,enemy_hp,distance,bot_x,enemy_x,bot_cooldown,enemy_last_action,time_left,action
64.0,76.0,1.36,7.6,8.96,0,punch,94.0,block
76.0,70.0,0.13,5.31,5.18,0,punch,95.8,block
100.0,100.0,1.55,7.25,8.8,0,idle,97.2,jump
70.0,85.0,1.16,6.07,7.24,3,punch,96.1,block
100.0,100.0,6.01,2.94,8.95,0,move_left,98.3,move_right
100.0,100.0,3.96,3.06,7.02,0,move_left,97.5,move_right
16.0,61.0,0.57,6.6,7.17,0,jump,94.6,move_right
88.0,94.0,1.2,4.34,5.54,6,block,96.9,idle
7.0,64.0,0.92,8.21,9.13,0,jump,91.6,move_right
100.0,100.0,3.32,4.14,7.46,4,kick,96.0,idle
100.0,100.0,4.02,2.02,6.04,0,jump,98.9,move_right
100.0,100.0,2.26,4.15,6.41,0,move_right,97.2,move_right
43.0,70.0,0.61,7.44,8.05,3,block,94.0,idle
16.0,25.0,1.34,5.93,4.6,0,kick,87.0,block
100.0,100.0,3.03,4.17,7.2,0,move_left,97.6,move_right
100.0,100.0,1.83,5.1,6.92,0,punch,96.7,jump
43.0,34.0,1.89,5.88,7.76,5,idle,92.4,special
100.0,100.0,1.95,5.91,7.85,0,punch,97.0,move_right
100.0,100.0,4.82,2.34,7.16,0,special,98.1,jump
52.0,37.0,1.03,5.77,6.79,2,kick,93.2,block
22.0,61.0,0.16,9.08,9.23,0,punch,91.9,block
16.0,46.0,0.91,9.09,10.0,2,move_right,89.0,move_right
4.0,19.0,1.02,8.2,9.22,0,move_left,87.7,punch
100.0,91.0,1.85,7.55,9.4,2,jump,96.9,idle
58.0,58.0,1.03,5.65,6.68,5,move_left,95.1,idle
85.0,85.0,1.21,7.44,8.65,2,move_left,96.0,idle
100.0,100.0,1.46,3.97,5.43,3,jump,97.2,idle
31.0,52.0,0.3,6.92,7.22,0,punch,92.4,block
100.0,100.0,1.96,3.88,5.84,0,punch,97.1,move_right
43.0,61.0,1.4,8.6,10.0,3,move_right,93.0,idle
100.0,100.0,1.99,7.06,9.04,0,move_left,96.7,move_right
100.0,100.0,3.33,2.25,5.58,0,idle,98.2,move_right
